Location,Classroom #,Capacity,Categories,Feature,Restriction
Barker,101,110,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Window-None",
Barker,110,30,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Window-None",
Giannini,141,50,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window",
Giannini,201,24,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Seating-Seminar, Seating-Tables/Chairs, Seating-Tables/Chairs Movable, Window",
Giannini,332,16,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Seating-Seminar, Seating-Tables/Chairs, Seating-Tables/Chairs Movable, Window",
Genetics & Plant Biology,100,206,"HD Classroom, Lecture Hall","ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Manual Projector, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Stage, Window-None",
Genetics & Plant Biology,103,45,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Seating-Movable, Window",
Genetics & Plant Biology,104,16,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-LCD, AV-VHS player, Board-White Only, Seating-Movable, Window",
Genetics & Plant Biology,107,45,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-LCD, AV-VHS player, Board-White Only, Seating-Movable, Window",
Haviland,12,54,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-White Only, Seating-Movable, Window",
Haviland,214,18,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-LCD, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window",
Haviland,321,28,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, Board-Chalk Only, Seating-Seminar, Window",
Li Ka Shing,245,297,"HD Classroom, Lecture Hall","ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-Course Capture Video, AV-DVD Player, AV-Document Camera, AV-Dual Input-Dual Display, AV-Microphones, AV-Podium Microphone, AV-Screen-Powered, AV-Single Input-Dual Display, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Board-White Only, Window-None",
Morgan,101,142,Lecture Hall,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 150plus sq ft, Board-Front 95plus sq ft, Window-None",
Morgan,138,32,"Classroom, HD Classroom","ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, Board-Chalk Only, Seating-Movable, Window",
Mulford,106,13,"HD Classroom, Seminar Hall","ADA-Instructor Accessible, ADA-Student Accessible, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-DVD Player, AV-Screen-Manual Projector, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Seating-Seminar, Seating-Tables/Chairs, Seating-Tables/Chairs Movable, Window",
Mulford,107,16,Seminar Room,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-DVD Player, AV-Screen-LCD, AV-Single Input-Dual Display, AV-VHS player, Board-White Only, Seating-Movable, Window",
Mulford,159,141,Lecture Hall,"ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Document Camera, AV-Microphones, AV-Screen-Powered, AV-VHS player, Board-Chalk Only, Board-Front 95plus sq ft, Window",
Mulford,230,30,"Active Learning Classroom, Classroom, HD Classroom","ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Blu-ray Player, AV-Computer Data Display, AV-Computer Data Display HD, AV-Connection-Aux, AV-Connection-HDMI, AV-Connection-VGA, AV-Connection-XLR, AV-DVD Player, AV-Microphones, AV-Screen-LCD, AV-Screen-Manual Projector, AV-Workstation-Display, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Seating-Tables/Chairs, Seating-Tables/Chairs Movable, Window",
Mulford,240,50,Classroom,"ADA-Instructor Accessible, ADA-Student Accessible, AV-Assistive Listening Device, AV-Computer Data Display, AV-Connection-Aux, AV-Connection-VGA, AV-Connection-XLR, AV-Course Capture, AV-DVD Player, AV-Microphones, AV-Screen-Manual Projector, AV-VHS player, Board-Front 95plus sq ft, Board-White Only, Seating-Movable, Window",
